State,County,Rep. Pres. Vote %,Dem. Pres. Vote %,Rep. House Vote %,Dem. House Vote %,Rep. Senate Vote %,Dem. Senate Vote %,Avg. Rep. Vote %,Avg. Dem. Vote %,Higher Avg. %
Ohio,morgan,68.77,26.94,73.95,26.05,68.64,26.77,69.67,26.0,69.67
Pennsylvania,bradford,70.57,24.77,75.71,24.29,64.85,27.33,69.67,25.0,69.67
Pennsylvania,lawrence,62.4,34.38,91.46,8.54,56.29,37.96,69.67,26.33,69.67
Pennsylvania,lycoming,70.46,25.75,74.03,25.97,65.29,28.06,69.67,26.0,69.67
South Dakota,aurora,69.23,24.16,65.38,34.62,75.78,24.22,69.67,27.33,69.67
South Dakota,grant,66.84,27.24,68.54,31.46,75.23,24.77,69.67,27.33,69.67
Washington,san juan,24.95,66.57,27.49,72.51,28.41,71.59,26.33,69.67,69.67
Wisconsin,florence,71.4,25.07,71.65,28.35,67.71,29.04,69.67,27.33,69.67
Alabama,lauderdale,70.59,25.18,69.27,30.62,69.85,30.04,69.33,28.33,69.33
Alabama,tallapoosa,69.76,28.32,70.73,29.19,69.72,30.19,69.33,29.0,69.33
Colorado,pitkin,24.23,69.69,25.79,71.69,26.51,68.33,25.0,69.33,69.33
Idaho,bingham,65.61,17.59,70.55,18.58,73.36,18.15,69.33,17.67,69.33
Illinois,menard,64.94,27.89,78.73,21.11,66.73,27.66,69.33,25.0,69.33
Indiana,miami,73.99,20.52,72.81,22.65,63.58,28.85,69.33,23.33,69.33
Indiana,noble,72.22,23.11,74.36,18.98,62.85,29.88,69.33,23.33,69.33
Indiana,putnam,72.29,22.81,72.46,22.9,64.74,29.4,69.33,24.33,69.33
Indiana,shelby,70.68,23.6,76.33,19.62,62.84,30.95,69.33,24.0,69.33
Iowa,calhoun,67.22,27.1,67.65,32.13,74.21,22.55,69.33,27.0,69.33
Iowa,mahaska,69.9,24.63,65.98,33.91,74.53,21.96,69.33,26.0,69.33
Kansas,allen,66.94,26.27,71.54,22.94,71.99,22.07,69.33,23.33,69.33
Kansas,butler,68.96,23.77,69.19,22.34,71.58,21.49,69.33,22.0,69.33
Kansas,osage,68.49,24.88,70.62,23.03,70.03,23.02,69.33,23.33,69.33
Missouri,jasper,72.57,21.88,70.83,24.51,66.35,28.5,69.33,24.33,69.33
Nevada,pershing,70.79,21.7,73.33,20.51,65.21,23.63,69.33,21.33,69.33
North Carolina,ashe,70.11,26.07,69.19,30.81,69.37,26.8,69.33,27.33,69.33
Ohio,allen,66.43,28.97,71.85,28.15,71.23,24.2,69.33,26.67,69.33
Ohio,ashland,71.14,23.34,65.88,17.27,72.71,21.23,69.33,20.33,69.33
Pennsylvania,greene,68.82,28.43,83.73,16.27,57.26,36.93,69.33,26.67,69.33
Pennsylvania,westmoreland,64.01,32.78,85.65,14.35,59.65,34.94,69.33,26.67,69.33
South Dakota,bon homme,70.78,23.67,64.99,35.01,74.53,25.47,69.33,27.67,69.33
South Dakota,clark,68.74,24.02,65.3,34.7,75.67,24.33,69.33,27.33,69.33
Alabama,calhoun,68.66,27.67,70.21,29.63,69.87,29.98,69.0,28.33,69.0
Alabama,coffee,76.44,20.33,54.71,29.76,77.59,22.17,69.0,23.67,69.0
Florida,levy,71.02,26.3,69.39,27.39,67.57,27.7,69.0,26.67,69.0
Indiana,warren,73.74,21.35,69.84,25.89,65.4,29.28,69.0,25.0,69.0
Kansas,sumner,71.84,21.35,66.3,19.98,70.93,22.11,69.0,20.67,69.0
Missouri,andrew,72.92,22.37,74.71,22.38,61.63,34.3,69.0,26.0,69.0
Missouri,madison,77.09,18.89,70.53,20.66,60.56,33.39,69.0,23.67,69.0
Ohio,muskingum,65.03,30.07,71.94,25.31,71.14,24.32,69.0,26.33,69.0
Ohio,perry,68.21,27.6,72.71,27.29,67.13,27.26,69.0,27.0,69.0
Oklahoma,seminole,69.84,25.77,65.95,29.87,73.26,20.77,69.0,24.67,69.0
South Carolina,lexington,65.55,28.86,68.66,25.38,74.52,23.49,69.0,25.33,69.0
South Dakota,charles mix,69.39,27.24,66.47,33.53,72.53,27.47,69.0,29.0,69.0
South Dakota,lyman,68.75,25.97,66.06,33.94,73.55,26.45,69.0,28.0,69.0
South Dakota,todd,22.92,70.82,27.51,72.49,34.48,65.52,27.67,69.0,69.0
Wisconsin,taylor,69.47,25.28,73.62,26.32,65.78,30.12,69.0,27.0,69.0
Alabama,elmore,74.17,22.66,57.47,29.61,75.54,24.18,68.67,25.0,68.67
Colorado,boulder,22.0,70.34,25.83,69.42,24.62,67.99,23.67,68.67,68.67
Colorado,dolores,75.22,19.28,64.16,31.18,67.05,28.05,68.67,26.0,68.67
Florida,sumter,68.78,29.53,70.52,27.51,68.23,27.88,68.67,27.67,68.67
Hawaii,honolulu,31.61,61.48,22.23,73.46,23.3,72.98,25.33,68.67,68.67
Illinois,greene,74.22,21.58,76.47,23.33,56.59,37.37,68.67,27.0,68.67
Indiana,carroll,72.58,21.89,71.15,23.59,63.49,29.05,68.67,24.33,68.67
Indiana,jennings,73.76,21.2,71.68,24.38,62.23,33.15,68.67,26.0,68.67
Iowa,hancock,67.74,27.03,67.03,32.88,72.73,22.75,68.67,27.0,68.67
Louisiana,tangipahoa,64.79,32.2,79.96,16.54,63.79,31.08,68.67,26.33,68.67
Missouri,caldwell,74.95,19.43,74.62,20.22,58.25,35.16,68.67,24.67,68.67
Missouri,chariton,74.33,22.37,74.17,22.95,58.64,36.99,68.67,26.67,68.67
Ohio,columbiana,68.56,26.91,71.86,28.14,67.9,25.91,68.67,26.33,68.67
Pennsylvania,franklin,71.37,25.05,66.76,33.24,69.72,25.54,68.67,27.67,68.67
Pennsylvania,washington,60.51,35.8,90.32,9.68,56.44,37.79,68.67,27.0,68.67
South Dakota,codington,66.54,27.2,66.69,33.31,74.43,25.57,68.67,28.33,68.67
Washington,douglas,61.78,31.64,86.75,13.25,59.62,40.38,68.67,28.0,68.67
Alabama,autauga,72.77,23.77,59.36,31.28,74.03,25.72,68.33,26.33,68.33
Florida,st. johns,64.96,31.57,71.05,27.18,70.52,26.2,68.33,28.0,68.33
Idaho,boise,70.08,20.37,69.18,30.82,66.62,22.95,68.33,24.0,68.33
Illinois,bond,64.91,27.46,90.12,9.81,51.55,42.99,68.33,26.0,68.33
Illinois,piatt,62.54,29.36,77.19,22.63,66.19,28.49,68.33,26.33,68.33
Indiana,dekalb,71.32,23.32,73.54,18.71,61.36,30.16,68.33,23.67,68.33
Indiana,hancock,69.3,24.61,73.73,21.92,63.77,29.63,68.33,24.67,68.33
Indiana,montgomery,72.97,22.18,69.24,26.54,64.62,28.95,68.33,25.33,68.33
Indiana,randolph,71.88,23.39,72.57,23.57,62.52,31.5,68.33,25.67,68.33
Iowa,butler,65.5,28.71,68.55,31.28,72.79,23.87,68.33,27.33,68.33
Iowa,monona,68.24,27.27,64.86,34.97,73.18,23.16,68.33,28.0,68.33
Kansas,jackson,67.7,25.99,68.97,25.56,70.57,24.44,68.33,24.67,68.33
Missouri,bates,74.8,20.17,73.69,22.05,58.06,35.94,68.33,25.67,68.33
Missouri,linn,73.17,22.19,74.7,22.49,58.31,36.98,68.33,26.67,68.33
North Carolina,hertford,30.42,67.84,26.98,71.82,31.32,67.48,29.0,68.33,68.33
Ohio,defiance,64.25,29.51,74.43,25.57,67.1,27.68,68.33,27.0,68.33
Pennsylvania,forest,70.1,26.07,72.84,27.16,63.27,29.82,68.33,27.33,68.33
South Dakota,deuel,65.67,27.4,66.71,33.29,74.54,25.46,68.33,28.33,68.33
Utah,carbon,66.34,21.59,68.55,31.45,71.56,24.02,68.33,25.33,68.33
Colorado,san miguel,23.86,68.72,26.99,68.98,24.49,68.5,24.33,68.0,68.0
Indiana,steuben,69.57,25.7,73.95,19.76,62.0,31.05,68.0,25.0,68.0
Iowa,cherokee,66.99,26.83,63.5,36.35,75.41,21.49,68.0,27.67,68.0
Iowa,clay,68.2,26.1,63.81,36.09,73.89,22.36,68.0,28.0,68.0
Iowa,mills,65.82,27.15,68.93,23.9,71.27,23.44,68.0,24.33,68.0
Kansas,miami,66.59,26.57,69.96,24.58,69.95,25.26,68.0,25.0,68.0
Ohio,knox,66.69,28.48,69.71,24.61,69.38,25.31,68.0,25.67,68.0
Ohio,lawrence,70.24,26.21,71.17,28.83,63.44,32.06,68.0,28.67,68.0
Ohio,vinton,70.57,24.55,69.32,30.68,65.23,28.99,68.0,27.33,68.0
Ohio,wayne,64.73,30.15,72.77,27.23,68.54,25.9,68.0,27.33,68.0
Pennsylvania,warren,67.68,27.91,71.21,28.79,66.6,28.14,68.0,27.67,68.0
South Dakota,davison,64.85,29.62,65.56,34.44,75.15,24.85,68.0,29.0,68.0
South Dakota,jackson,65.94,29.5,68.54,31.46,71.39,28.61,68.0,29.33,68.0
South Dakota,jerauld,67.01,27.3,64.9,35.1,73.39,26.61,68.0,29.33,68.0
Washington,garfield,68.3,22.39,76.21,23.79,60.86,39.14,68.0,28.0,68.0
Arkansas,saline,68.83,25.44,71.75,22.87,64.15,31.25,67.67,26.0,67.67
Florida,hardee,69.13,28.34,66.43,29.74,68.58,26.96,67.67,27.67,67.67
Idaho,twin falls,66.37,20.86,68.1,21.33,69.67,22.08,67.67,21.0,67.67
Illinois,adams,71.33,24.02,75.54,24.45,57.02,39.05,67.67,29.0,67.67
Illinois,hancock,70.5,23.45,76.22,23.72,57.41,38.01,67.67,28.0,67.67
Indiana,benton,70.35,23.46,71.03,23.36,62.7,30.64,67.67,25.33,67.67
Indiana,clay,75.62,20.44,71.8,23.5,57.93,35.8,67.67,26.0,67.67
Iowa,adair,64.58,29.73,68.62,25.46,71.79,23.7,67.67,25.67,67.67
Iowa,wayne,70.37,24.46,59.72,40.18,74.94,22.02,67.67,28.67,67.67
Louisiana,iberia,64.41,32.96,75.22,23.52,64.55,25.91,67.67,26.67,67.67
Louisiana,webster,63.61,34.5,78.43,20.21,62.85,35.81,67.67,29.67,67.67
Oklahoma,mcintosh,69.13,26.66,67.71,26.51,67.04,27.37,67.67,26.33,67.67
Pennsylvania,susquehanna,68.34,27.16,73.25,26.75,62.33,28.76,67.67,27.0,67.67
Pennsylvania,venango,68.62,27.02,73.56,26.44,62.83,30.11,67.67,27.67,67.67
South Carolina,orangeburg,30.66,67.64,28.56,70.06,32.77,66.31,30.0,67.67,67.67
South Dakota,beadle,65.79,28.23,65.74,34.26,73.62,26.38,67.67,29.33,67.67
South Dakota,kingsbury,65.86,27.56,65.3,34.7,73.8,26.2,67.67,29.0,67.67
South Dakota,lincoln,61.43,32.01,66.11,33.89,76.12,23.88,67.67,29.33,67.67
Washington,columbia,68.61,24.11,74.66,25.34,61.06,38.94,67.67,29.0,67.67
Colorado,crowley,70.66,22.2,71.55,23.18,61.66,33.2,67.33,26.0,67.33
Colorado,morgan,68.1,26.35,71.67,24.73,63.3,32.93,67.33,27.33,67.33
Colorado,teller,67.47,24.94,69.37,24.2,66.62,28.36,67.33,25.33,67.33
Florida,glades,68.83,29.2,66.93,29.07,68.1,27.83,67.33,28.33,67.33
Idaho,bonneville,60.38,20.19,71.22,20.08,71.6,21.09,67.33,20.33,67.33
Idaho,canyon,64.88,23.2,69.67,30.31,69.21,23.54,67.33,25.33,67.33
Indiana,clinton,71.47,23.62,69.61,25.62,62.19,31.5,67.33,26.33,67.33
Indiana,lawrence,73.28,21.98,64.04,30.66,65.48,29.18,67.33,26.67,67.33
Iowa,dickinson,65.22,29.52,64.18,35.71,73.17,23.65,67.33,29.0,67.33
Louisiana,plaquemines,65.26,31.66,69.96,24.69,68.68,28.24,67.33,27.67,67.33
Missouri,randolph,73.03,22.15,70.84,24.03,59.23,35.3,67.33,27.0,67.33
North Carolina,catawba,66.79,29.32,70.48,29.52,66.12,29.04,67.33,29.0,67.33
Oklahoma,ottawa,71.38,24.17,66.18,26.19,65.94,26.41,67.33,25.33,67.33
Pennsylvania,adams,66.17,29.94,72.5,27.5,64.19,30.72,67.33,28.67,67.33
South Carolina,laurens,63.3,33.46,70.67,29.22,69.79,28.2,67.33,30.0,67.33
South Dakota,lawrence,62.58,28.34,68.06,31.94,72.39,27.61,67.33,28.67,67.33
South Dakota,miner,66.35,26.41,63.55,36.45,73.97,26.03,67.33,29.33,67.33
Wisconsin,la crosse,41.91,51.46,0.05,99.95,44.17,52.48,28.33,67.33,67.33
Arkansas,perry,69.86,24.36,71.49,22.6,61.63,33.2,67.0,26.33,67.0
Colorado,delta,69.42,24.34,67.03,28.21,65.45,29.33,67.0,27.0,67.0
Colorado,fremont,68.82,24.11,69.52,24.44,64.47,30.39,67.0,26.0,67.0
Colorado,montrose,67.88,25.8,68.63,25.82,66.45,28.85,67.0,26.0,67.0
Indiana,greene,74.47,21.22,70.53,25.15,57.72,37.14,67.0,27.67,67.0
Indiana,jasper,70.13,24.88,67.11,28.53,64.64,31.02,67.0,27.67,67.0
Indiana,parke,73.88,21.89,70.83,24.09,58.18,35.26,67.0,26.67,67.0
Iowa,keokuk,68.0,26.92,58.56,41.36,75.22,21.26,67.0,29.33,67.0
Iowa,van buren,70.96,23.73,57.78,42.02,74.14,21.64,67.0,28.67,67.0
South Dakota,pennington,62.43,29.48,67.19,32.81,72.0,28.0,67.0,29.67,67.0
Wisconsin,oconto,66.34,29.45,70.39,29.61,65.64,30.6,67.0,29.33,67.0
Arizona,la paz,67.27,26.47,70.3,29.57,63.11,28.07,66.67,27.67,66.67
Colorado,custer,67.22,25.99,69.92,25.61,64.84,30.85,66.67,26.67,66.67
Florida,franklin,68.58,28.99,67.15,30.73,65.3,30.88,66.67,29.33,66.67
Florida,okeechobee,68.53,29.0,68.32,27.56,64.03,31.74,66.67,29.0,66.67
Indiana,fulton,71.77,23.41,69.21,27.07,60.28,33.17,66.67,27.67,66.67
Indiana,gibson,71.56,24.03,70.07,25.52,59.43,35.57,66.67,28.0,66.67
Indiana,owen,71.91,22.74,67.63,24.56,62.51,30.97,66.67,25.33,66.67
Iowa,harrison,65.67,28.55,66.94,32.85,69.99,24.5,66.67,28.0,66.67
Louisiana,ascension,66.1,30.13,67.44,29.7,67.77,29.42,66.67,29.33,66.67
Maryland,caroline,66.38,28.41,70.49,25.55,64.24,33.16,66.67,28.67,66.67
Missouri,cooper,70.42,24.19,72.93,22.67,58.55,36.63,66.67,27.33,66.67
North Carolina,burke,67.42,28.91,68.77,31.23,65.52,29.87,66.67,29.33,66.67
North Carolina,macon,68.38,27.5,67.6,32.4,65.01,30.72,66.67,29.67,66.67
Ohio,geauga,60.53,35.18,72.04,27.92,68.28,27.18,66.67,29.67,66.67
Ohio,tuscarawas,65.19,29.52,69.41,27.07,66.67,27.49,66.67,27.67,66.67
Pennsylvania,elk,69.49,26.71,71.83,28.17,60.76,31.48,66.67,28.33,66.67
Pennsylvania,northumberland,69.43,26.73,70.83,29.17,61.42,31.28,66.67,28.67,66.67
South Carolina,spartanburg,62.99,33.03,68.95,29.26,70.03,28.34,66.67,30.0,66.67
Washington,jefferson,29.77,62.42,29.74,70.26,31.25,68.75,29.67,66.67,66.67
Florida,jackson,67.76,30.4,66.47,31.26,66.18,30.47,66.33,30.33,66.33
Illinois,morgan,61.32,31.73,76.09,23.84,62.21,32.31,66.33,28.67,66.33
Indiana,jackson,73.17,21.87,62.18,32.21,64.51,32.1,66.33,28.33,66.33
Indiana,newton,70.35,24.23,66.11,28.61,63.62,30.96,66.33,27.33,66.33
Indiana,pulaski,70.6,24.31,71.34,24.92,58.22,34.81,66.33,27.33,66.33
Indiana,tipton,74.42,21.13,74.36,20.97,51.91,42.68,66.33,27.67,66.33
Iowa,crawford,66.58,28.71,64.51,35.4,69.54,26.35,66.33,29.67,66.33
Iowa,franklin,63.67,30.05,65.26,34.6,71.86,23.72,66.33,29.0,66.33
Iowa,palo alto,65.51,29.73,62.7,37.14,72.58,23.83,66.33,29.67,66.33
Louisiana,st. landry,54.96,43.05,83.27,15.44,62.7,34.65,66.33,30.67,66.33
Maryland,queen anne's,64.07,30.06,70.04,25.71,65.07,32.42,66.33,29.0,66.33
Missouri,iron,74.33,21.86,70.24,26.9,55.1,39.53,66.33,28.67,66.33
Missouri,phelps,68.5,25.69,72.59,24.33,59.7,35.48,66.33,28.0,66.33
Missouri,washington,75.93,20.75,69.7,27.31,55.41,38.33,66.33,28.33,66.33
Nevada,lyon,67.36,25.86,68.84,24.45,64.6,26.82,66.33,25.0,66.33
North Carolina,iredell,66.31,29.96,68.65,31.35,65.14,29.66,66.33,29.67,66.33
North Carolina,onslow,64.97,30.65,71.18,28.82,64.47,30.35,66.33,29.33,66.33
Ohio,hocking,66.19,29.4,68.72,31.28,65.2,29.67,66.33,29.67,66.33
Oklahoma,osage,66.31,29.51,67.24,32.76,66.02,27.23,66.33,29.33,66.33
Pennsylvania,blair,71.27,25.42,62.87,37.13,66.68,27.57,66.33,29.67,66.33
Pennsylvania,wayne,67.63,29.18,71.52,28.48,61.01,31.42,66.33,29.33,66.33
South Carolina,saluda,64.53,32.85,68.7,31.25,67.7,30.6,66.33,31.0,66.33
Florida,wakulla,68.48,28.32,66.78,30.78,64.25,31.9,66.0,29.67,66.0
Illinois,marshall,63.25,29.9,75.07,24.84,60.83,32.57,66.0,28.33,66.0
Indiana,fayette,71.76,23.63,68.8,27.35,59.72,33.79,66.0,27.67,66.0
Indiana,jay,71.34,23.65,70.5,23.71,57.72,34.68,66.0,26.67,66.0
Iowa,emmet,65.73,28.55,63.8,36.08,70.92,24.86,66.0,29.33,66.0
Iowa,guthrie,63.1,30.12,66.57,26.14,69.95,24.69,66.0,26.67,66.0
Iowa,lucas,66.08,28.46,61.27,38.68,71.64,24.97,66.0,30.0,66.0
Kansas,franklin,65.53,26.37,65.97,28.46,68.07,25.18,66.0,26.33,66.0
Kansas,labette,65.81,28.26,69.42,25.97,64.83,28.85,66.0,27.0,66.0
Louisiana,st. john the baptist,36.49,61.04,17.18,81.5,40.54,56.96,31.0,66.0,66.0
Missouri,pettis,70.73,23.87,71.05,23.68,57.59,37.0,66.0,27.67,66.0
North Carolina,rowan,66.51,30.14,68.23,31.77,64.75,30.19,66.0,30.33,66.0
Ohio,belmont,67.82,28.23,67.59,32.41,64.37,30.38,66.0,30.0,66.0
Ohio,greene,59.3,35.36,71.09,26.49,68.33,27.5,66.0,29.33,66.0
Ohio,licking,61.91,33.08,71.48,24.78,66.54,28.5,66.0,28.33,66.0
Ohio,richland,66.27,29.13,66.01,27.5,66.73,27.67,66.0,27.67,66.0
South Carolina,williamsburg,32.31,66.12,27.74,70.92,36.31,62.92,31.67,66.0,66.0
Washington,lewis,64.4,28.27,73.91,26.09,61.53,38.47,66.0,30.67,66.0
Alabama,crenshaw,72.01,26.55,54.76,36.93,71.57,28.25,65.67,30.0,65.67
Colorado,prowers,70.39,23.64,65.17,32.26,62.89,33.33,65.67,29.33,65.67
Florida,citrus,68.33,28.59,67.62,28.42,62.23,30.65,65.67,28.67,65.67
Florida,collier,61.73,35.77,68.89,31.04,68.26,29.18,65.67,31.67,65.67
Idaho,nez perce,62.2,28.07,65.08,34.92,70.17,26.6,65.67,29.33,65.67
Illinois,jersey,70.49,24.37,73.03,26.81,54.84,39.75,65.67,29.67,65.67
Indiana,pike,73.58,21.7,67.57,27.92,57.25,37.46,65.67,28.33,65.67
Indiana,switzerland,69.15,25.14,66.3,30.49,62.07,34.11,65.67,29.67,65.67
Iowa,delaware,61.62,32.0,66.15,33.7,70.21,25.81,65.67,30.0,65.67
Iowa,madison,62.07,31.01,66.79,26.95,69.5,25.88,65.67,27.33,65.67
Louisiana,east feliciana,55.46,42.17,84.81,13.75,58.08,39.82,65.67,31.33,65.67
Maryland,carroll,63.38,28.92,68.32,25.72,66.67,30.62,65.67,27.67,65.67
Missouri,henry,71.71,23.89,71.3,24.69,55.82,38.41,65.67,28.33,65.67
Missouri,lincoln,72.75,22.33,69.05,26.38,56.7,37.35,65.67,28.33,65.67
Missouri,new madrid,71.63,26.27,69.17,28.68,57.31,39.21,65.67,31.0,65.67
Missouri,nodaway,67.46,26.74,72.99,24.09,58.65,36.85,65.67,28.67,65.67
North Carolina,edgecombe,33.2,65.19,29.94,68.62,33.89,64.3,31.67,65.67,65.67
North Carolina,warren,32.66,65.16,29.7,68.38,33.33,64.82,31.33,65.67,65.67
Ohio,huron,65.34,28.96,65.36,30.88,67.86,25.07,65.67,27.67,65.67
Ohio,marion,64.44,30.12,68.11,31.21,65.99,27.45,65.67,29.33,65.67
Pennsylvania,lebanon,65.53,30.65,68.86,28.59,64.02,31.01,65.67,29.67,65.67
Washington,stevens,66.86,25.43,67.75,32.25,64.53,35.47,65.67,30.67,65.67
Wisconsin,green lake,66.18,28.77,65.83,28.71,66.69,29.77,65.67,28.33,65.67
Wisconsin,shawano,64.51,30.66,68.84,31.15,65.06,31.09,65.67,30.67,65.67
Wisconsin,waukesha,59.62,33.13,71.81,24.49,67.89,30.2,65.67,29.0,65.67
Alabama,dale,73.65,23.54,49.94,33.73,74.46,25.22,65.33,27.0,65.33
Idaho,bonner,63.71,27.78,66.69,33.31,67.18,27.85,65.33,29.0,65.33
Idaho,power,60.41,25.34,67.83,25.04,69.61,24.59,65.33,24.67,65.33
Indiana,white,68.57,25.76,68.69,25.85,60.78,32.28,65.33,27.33,65.33
Iowa,kossuth,65.68,29.55,61.81,38.14,70.29,26.21,65.33,31.0,65.33
Iowa,wright,63.06,31.46,63.84,36.11,70.36,25.92,65.33,30.67,65.33
Kansas,atchison,61.58,30.25,70.22,24.64,65.95,29.43,65.33,27.67,65.33
Kentucky,powell,70.87,25.66,72.1,27.9,54.49,45.51,65.33,32.33,65.33
Missouri,callaway,68.03,25.99,71.75,23.79,57.24,36.92,65.33,28.0,65.33
Missouri,franklin,70.7,24.63,70.23,25.13,56.57,38.24,65.33,29.0,65.33
Missouri,warren,70.39,24.8,70.55,24.94,56.69,37.68,65.33,28.33,65.33
North Carolina,union,63.1,32.48,68.24,31.76,65.04,30.76,65.33,31.0,65.33
Ohio,butler,61.54,33.73,66.38,29.44,69.27,26.69,65.33,29.33,65.33
Ohio,fairfield,60.78,34.12,70.5,29.5,66.31,29.33,65.33,30.67,65.33
Ohio,monroe,71.64,24.46,65.96,34.04,60.12,34.28,65.33,30.67,65.33
Ohio,washington,68.75,26.9,66.44,33.56,62.28,33.33,65.33,30.67,65.33
Pennsylvania,wyoming,67.23,28.99,69.34,30.66,60.03,31.79,65.33,29.67,65.33
South Dakota,spink,62.83,31.14,62.98,37.02,72.74,27.26,65.33,31.67,65.33
Wisconsin,eau claire,42.47,49.73,0.05,97.43,45.51,50.83,29.0,65.33,65.33
Wisconsin,portage,44.96,48.11,0.01,98.69,46.23,50.02,30.0,65.33,65.33
Connecticut,new london,43.76,50.42,14.37,73.96,16.15,72.71,24.33,65.0,65.0
Indiana,johnson,68.35,26.04,63.78,30.33,64.72,29.73,65.0,28.33,65.0
Iowa,audubon,62.6,31.65,63.24,36.7,70.78,25.81,65.0,30.67,65.0
Kansas,cowley,65.53,28.14,63.09,22.81,67.85,26.14,65.0,25.33,65.0
Louisiana,st. mary,62.77,35.19,69.52,23.87,64.07,31.79,65.0,29.67,65.0
Missouri,audrain,69.39,25.54,69.94,25.73,57.26,36.8,65.0,28.67,65.0
Ohio,seneca,61.8,30.87,66.33,33.67,68.41,26.15,65.0,29.67,65.0
Wisconsin,marinette,64.83,31.14,68.05,31.93,63.39,32.72,65.0,31.33,65.0
Alabama,coosa,64.38,33.93,65.35,34.59,65.29,34.56,64.67,33.67,64.67
Iowa,carroll,62.96,31.38,62.33,37.56,70.18,26.24,64.67,31.33,64.67
Louisiana,st. bernard,64.73,31.36,66.2,26.62,64.98,31.94,64.67,29.33,64.67
Missouri,cole,65.86,29.2,71.61,25.33,58.54,37.93,64.67,30.33,64.67
Missouri,pike,71.44,24.46,68.33,28.56,55.55,39.06,64.67,30.33,64.67
Nevada,douglas,62.45,30.32,69.08,27.4,63.61,30.41,64.67,29.0,64.67
North Carolina,gaston,64.09,32.33,67.71,32.29,63.29,32.1,64.67,32.0,64.67
Ohio,delaware,55.43,39.35,72.5,24.81,67.91,28.96,64.67,30.33,64.67
Ohio,scioto,66.76,29.66,65.97,33.76,63.06,33.5,64.67,31.67,64.67
South Carolina,abbeville,62.77,34.72,66.26,33.68,66.05,32.53,64.67,33.0,64.67
South Carolina,greenville,59.41,34.62,66.47,31.86,69.65,29.0,64.67,31.33,64.67
Florida,broward,31.37,66.51,34.05,64.86,33.99,63.77,32.67,64.33,64.33
Idaho,shoshone,64.39,27.03,62.86,37.14,67.31,28.71,64.33,30.67,64.33
Indiana,hendricks,63.97,29.91,68.63,27.05,62.27,32.55,64.33,29.33,64.33
Indiana,marshall,67.96,26.53,67.65,28.75,59.41,34.69,64.33,29.33,64.33
Indiana,washington,72.12,23.16,58.59,35.55,63.27,33.17,64.33,30.33,64.33
Iowa,davis,70.14,25.17,52.03,47.68,71.56,25.29,64.33,32.33,64.33
Iowa,hardin,61.57,32.66,63.19,36.77,69.01,26.98,64.33,31.33,64.33
Kansas,jefferson,62.53,30.2,66.84,26.9,65.23,29.94,64.33,28.33,64.33
Maryland,allegany,69.39,25.69,62.98,33.35,62.06,33.53,64.33,30.33,64.33
Maryland,charles,32.71,63.01,29.44,67.6,33.14,63.66,31.33,64.33,64.33
Oklahoma,okmulgee,64.12,31.44,65.26,29.55,64.32,29.25,64.33,29.67,64.33
Oklahoma,payne,59.98,31.66,69.37,30.63,65.71,24.92,64.33,28.33,64.33
South Carolina,aiken,61.49,34.01,65.76,31.65,67.4,31.05,64.33,32.0,64.33
Arizona,apache,29.79,61.76,27.84,65.82,28.51,66.2,28.0,64.0,64.0
Colorado,mesa,64.1,27.98,66.23,27.34,62.84,31.2,64.0,28.33,64.0
Illinois,mason,62.57,31.05,72.87,27.06,58.0,35.99,64.0,31.0,64.0
Indiana,blackford,69.23,25.69,66.47,27.46,57.01,35.41,64.0,29.0,64.0
Indiana,cass,68.27,26.46,66.86,28.35,58.3,34.59,64.0,29.33,64.0
Missouri,clinton,69.23,25.2,69.41,25.99,54.92,39.03,64.0,29.67,64.0
New York,tompkins,24.3,67.69,23.73,62.47,18.61,63.77,21.67,64.0,64.0
North Carolina,johnston,63.29,33.01,66.72,33.28,63.32,33.17,64.0,33.0,64.0
North Carolina,moore,62.62,33.54,67.29,32.71,63.56,33.22,64.0,32.67,64.0
North Carolina,perquimans,62.27,34.57,67.51,32.49,63.26,34.74,64.0,33.33,64.0
Pennsylvania,clinton,65.1,30.82,70.02,29.98,57.38,36.34,64.0,31.67,64.0
Pennsylvania,york,62.4,33.27,69.14,30.86,61.33,33.68,64.0,32.0,64.0
South Carolina,bamberg,35.47,62.73,30.71,68.03,36.49,62.64,33.67,64.0,64.0
Utah,wasatch,50.45,25.27,71.09,28.91,71.25,24.39,64.0,25.67,64.0
Wisconsin,langlade,63.52,32.18,69.35,30.62,60.74,35.04,64.0,32.33,64.0
Wisconsin,milwaukee,28.59,65.6,17.71,64.71,34.03,63.62,26.33,64.0,64.0
Florida,highlands,64.71,32.69,65.05,31.16,62.43,32.18,63.67,31.67,63.67
Illinois,cass,62.76,31.64,71.98,27.96,58.06,35.81,63.67,31.0,63.67
Illinois,perry,69.57,24.99,71.07,25.92,51.02,44.32,63.67,31.0,63.67
Indiana,henry,68.94,25.42,66.68,27.84,57.93,34.34,63.67,28.67,63.67
Iowa,marion,61.53,30.77,60.78,39.1,70.41,25.89,63.67,31.33,63.67
Missouri,mississippi,69.65,28.21,67.62,30.83,55.76,40.71,63.67,32.67,63.67
Missouri,st. francois,70.64,25.27,68.07,28.94,53.32,41.14,63.67,31.33,63.67
North Carolina,cleveland,63.75,33.5,66.26,33.74,62.31,34.05,63.67,33.33,63.67
