State,County,Candidate,Party,Votes,Vote %
Arizona,pinal,Donald Trump,Republican,72819,0.5621092121717383
Arizona,santa cruz,Hillary Clinton,Democratic,11690,0.7113734558510315
Arizona,yavapai,Donald Trump,Republican,71330,0.6232415902140673
Arizona,yuma,Donald Trump,Republican,25165,0.47472175061309185
Arkansas,arkansas,Donald Trump,Republican,3826,0.6159047005795235
Arkansas,ashley,Donald Trump,Republican,5338,0.6603983669429667
Arkansas,baxter,Donald Trump,Republican,14682,0.7427906506121623
Arkansas,benton,Donald Trump,Republican,60871,0.628676774353466
Arkansas,boone,Donald Trump,Republican,12235,0.7594190304760723
Arkansas,bradley,Donald Trump,Republican,2164,0.5923898165891048
Arkansas,calhoun,Donald Trump,Republican,1556,0.6857646540326134
Arkansas,carroll,Donald Trump,Republican,6786,0.6307863915225879
Arkansas,chicot,Hillary Clinton,Democratic,2350,0.5627394636015326
Arkansas,clark,Donald Trump,Republican,4404,0.5165376495425756
Arkansas,clay,Donald Trump,Republican,3781,0.7271153846153846
Arkansas,cleburne,Donald Trump,Republican,9458,0.7826230864708316
Arkansas,cleveland,Donald Trump,Republican,2462,0.7340488968395945
Arkansas,columbia,Donald Trump,Republican,5456,0.6139304602227973
Arkansas,conway,Donald Trump,Republican,4849,0.6117068247760817
Arkansas,craighead,Donald Trump,Republican,22892,0.6435217721305484
Arkansas,crawford,Donald Trump,Republican,16686,0.7432516703786192
Arkansas,crittenden,Hillary Clinton,Democratic,8410,0.5272066198595787
Arkansas,cross,Donald Trump,Republican,4584,0.6668606342740763
Arkansas,dallas,Donald Trump,Republican,1509,0.5445687477444966
Arkansas,desha,Hillary Clinton,Democratic,2228,0.5233732675593141
Arkansas,drew,Donald Trump,Republican,3968,0.6016679302501895
Arkansas,faulkner,Donald Trump,Republican,29346,0.617459549308814
Arkansas,franklin,Donald Trump,Republican,5039,0.7443131462333825
Arkansas,fulton,Donald Trump,Republican,3471,0.7273679798826488
Arkansas,garland,Donald Trump,Republican,26087,0.6393089082220316
Arkansas,grant,Donald Trump,Republican,5725,0.7689724647414372
Arkansas,greene,Donald Trump,Republican,10720,0.7342465753424657
Arkansas,hempstead,Donald Trump,Republican,4401,0.6243438785643354
Arkansas,hot spring,Donald Trump,Republican,8172,0.6841929002009377
Arkansas,howard,Donald Trump,Republican,3157,0.6754385964912281
Arkansas,independence,Donald Trump,Republican,9936,0.7298369325694138
Arkansas,izard,Donald Trump,Republican,4042,0.7419236417033774
Arkansas,jackson,Donald Trump,Republican,3267,0.6336307214895268
Arkansas,jefferson,Hillary Clinton,Democratic,15772,0.6090986328879278
Arkansas,johnson,Donald Trump,Republican,6091,0.668459174714662
Arkansas,lafayette,Donald Trump,Republican,1758,0.6146853146853147
Arkansas,lawrence,Donald Trump,Republican,4064,0.7148636763412489
Arkansas,lee,Hillary Clinton,Democratic,1735,0.5733641771315268
Arkansas,lincoln,Donald Trump,Republican,2455,0.641662310507057
Arkansas,little river,Donald Trump,Republican,3605,0.6896881576430075
Arkansas,logan,Donald Trump,Republican,5746,0.7254134578967302
Arkansas,lonoke,Donald Trump,Republican,19958,0.7364575645756457
Arkansas,madison,Donald Trump,Republican,4928,0.7203625200994007
Arkansas,marion,Donald Trump,Republican,5336,0.7508090614886731
Arkansas,miller,Donald Trump,Republican,11294,0.7018830402088124
Arkansas,mississippi,Donald Trump,Republican,7061,0.5347621932747653
Arkansas,monroe,Donald Trump,Republican,1489,0.5162968099861304
Arkansas,montgomery,Donald Trump,Republican,2643,0.7426243326777184
Arkansas,nevada,Donald Trump,Republican,2000,0.6161429451632778
Arkansas,newton,Donald Trump,Republican,2875,0.7660538236077804
Arkansas,ouachita,Donald Trump,Republican,5351,0.5386009058882738
Arkansas,perry,Donald Trump,Republican,3008,0.6985601486298189
Arkansas,phillips,Hillary Clinton,Democratic,4310,0.619876312383144
Arkansas,pike,Donald Trump,Republican,3150,0.7912584777694047
Arkansas,poinsett,Donald Trump,Republican,5502,0.7125097125097125
Arkansas,polk,Donald Trump,Republican,6618,0.8040335317701373
Arkansas,pope,Donald Trump,Republican,16256,0.7202800301298241
Arkansas,prairie,Donald Trump,Republican,2505,0.7273519163763066
Arkansas,pulaski,Hillary Clinton,Democratic,89574,0.5606223713198478
Arkansas,randolph,Donald Trump,Republican,4509,0.7068506035428751
Arkansas,st. francis,Hillary Clinton,Democratic,4031,0.5425302826379542
Arkansas,saline,Donald Trump,Republican,35863,0.6883493282149712
Arkansas,scott,Donald Trump,Republican,2731,0.778062678062678
Arkansas,searcy,Donald Trump,Republican,2955,0.7926502145922747
Arkansas,sebastian,Donald Trump,Republican,29127,0.6525304119900531
Arkansas,sevier,Donald Trump,Republican,3282,0.7194213064445418
Arkansas,sharp,Donald Trump,Republican,5407,0.7458959856531936
Arkansas,stone,Donald Trump,Republican,4113,0.7321110715557138
Arkansas,union,Donald Trump,Republican,10456,0.6189179590387119
Arkansas,van buren,Donald Trump,Republican,5382,0.7333424172230549
Arkansas,washington,Donald Trump,Republican,41476,0.5066637348676415
Arkansas,white,Donald Trump,Republican,21077,0.7743488004702598
Arkansas,woodruff,Donald Trump,Republican,1347,0.5239206534422404
Arkansas,yell,Donald Trump,Republican,4608,0.7156390743904333
California,alameda,Hillary Clinton,Democratic,514842,0.7869001293052061
California,alpine,Hillary Clinton,Democratic,334,0.5548172757475083
California,amador,Donald Trump,Republican,10485,0.5912371715349047
California,butte,Donald Trump,Republican,45144,0.47239546272654975
California,calaveras,Donald Trump,Republican,13511,0.583981673582296
California,colusa,Donald Trump,Republican,3551,0.5354342581423401
California,contra costa,Hillary Clinton,Democratic,319287,0.684908028101035
California,del norte,Donald Trump,Republican,5134,0.5371416614354467
California,el dorado,Donald Trump,Republican,49247,0.5261937579468111
California,fresno,Hillary Clinton,Democratic,141341,0.500642889780709
California,glenn,Donald Trump,Republican,5788,0.6111932418162619
California,humboldt,Hillary Clinton,Democratic,33200,0.5603753839921682
California,imperial,Hillary Clinton,Democratic,32667,0.6792747083653906
California,inyo,Donald Trump,Republican,4248,0.5253524610437794
California,kern,Donald Trump,Republican,129584,0.530727423893055
California,kings,Donald Trump,Republican,18093,0.5334807607253428
California,lake,Hillary Clinton,Democratic,11496,0.46930111038536904
California,lassen,Donald Trump,Republican,7574,0.7196883314329152
California,los angeles,Hillary Clinton,Democratic,2464364,0.7175722154215638
California,madera,Donald Trump,Republican,23357,0.5417749118574875
California,marin,Hillary Clinton,Democratic,108707,0.7805317613607806
California,mariposa,Donald Trump,Republican,5185,0.5840937253576659
California,mendocino,Hillary Clinton,Democratic,22079,0.5891346692638152
California,merced,Hillary Clinton,Democratic,37317,0.5271581742926161
California,modoc,Donald Trump,Republican,2696,0.7117212249208026
California,mono,Hillary Clinton,Democratic,2773,0.525587566338135
California,monterey,Hillary Clinton,Democratic,89088,0.6677860398177021
California,napa,Hillary Clinton,Democratic,39199,0.6387114645115036
California,nevada,Hillary Clinton,Democratic,26053,0.47425138800400474
California,orange,Hillary Clinton,Democratic,609961,0.5093530718876746
California,placer,Donald Trump,Republican,95138,0.5203375647427518
California,plumas,Donald Trump,Republican,5420,0.5601488218272013
California,riverside,Hillary Clinton,Democratic,373695,0.49733760452281167
California,sacramento,Hillary Clinton,Democratic,326023,0.5828813044177855
California,san benito,Hillary Clinton,Democratic,12521,0.571109286626528
California,san bernardino,Hillary Clinton,Democratic,340833,0.5211649232472404
California,san diego,Hillary Clinton,Democratic,735476,0.5629791794243724
California,san francisco,Hillary Clinton,Democratic,345084,0.8503962621244381
California,san joaquin,Hillary Clinton,Democratic,121124,0.5403317184586423
California,san luis obispo,Hillary Clinton,Democratic,67107,0.4970557518387663
California,san mateo,Hillary Clinton,Democratic,237882,0.7566606443075984
California,santa barbara,Hillary Clinton,Democratic,107142,0.6060547780932879
California,santa clara,Hillary Clinton,Democratic,511684,0.7271244221688227
California,santa cruz,Hillary Clinton,Democratic,95249,0.7393903167961745
California,shasta,Donald Trump,Republican,51778,0.6467964973205251
California,sierra,Donald Trump,Republican,1048,0.5726775956284152
California,siskiyou,Donald Trump,Republican,11341,0.5534354870193247
California,solano,Hillary Clinton,Democratic,102360,0.6162070397861696
California,sonoma,Hillary Clinton,Democratic,160435,0.6937639727917043
California,stanislaus,Hillary Clinton,Democratic,81647,0.474289266088088
California,sutter,Donald Trump,Republican,18176,0.5421949109566566
California,tehama,Donald Trump,Republican,15494,0.6480675924376778
California,trinity,Donald Trump,Republican,2812,0.4945480126626803
California,tulare,Donald Trump,Republican,58299,0.5189791158509445
California,tuolumne,Donald Trump,Republican,14551,0.5699792392964863
California,ventura,Hillary Clinton,Democratic,194402,0.5527086425228729
California,yolo,Hillary Clinton,Democratic,54752,0.6669752710439761
California,yuba,Donald Trump,Republican,13170,0.5726584920427863
Colorado,adams,Hillary Clinton,Democratic,96558,0.4985826039811014
Colorado,alamosa,Hillary Clinton,Democratic,3189,0.45957630782533504
Colorado,arapahoe,Hillary Clinton,Democratic,159885,0.5275931706737591
Colorado,archuleta,Donald Trump,Republican,4264,0.5810055865921788
Colorado,baca,Donald Trump,Republican,1753,0.8142127264282397
Colorado,bent,Donald Trump,Republican,1188,0.6165023352361183
Colorado,boulder,Hillary Clinton,Democratic,132334,0.7033729842353116
Colorado,broomfield,Hillary Clinton,Democratic,19731,0.5235214518825121
Colorado,chaffee,Donald Trump,Republican,5391,0.4792
Colorado,cheyenne,Donald Trump,Republican,925,0.8393829401088929
Colorado,clear creek,Hillary Clinton,Democratic,2729,0.4652233208319127
Colorado,conejos,Donald Trump,Republican,1914,0.47588264545002484
Colorado,costilla,Hillary Clinton,Democratic,1125,0.6087662337662337
Colorado,crowley,Donald Trump,Republican,1079,0.7066142763588736
Colorado,custer,Donald Trump,Republican,2061,0.6722113502935421
Colorado,delta,Donald Trump,Republican,11655,0.6941631923764146
Colorado,denver,Hillary Clinton,Democratic,244551,0.7369279076214698
Colorado,dolores,Donald Trump,Republican,944,0.7521912350597609
Colorado,douglas,Donald Trump,Republican,102573,0.5470589176475608
Colorado,eagle,Hillary Clinton,Democratic,14099,0.5589739523450818
Colorado,elbert,Donald Trump,Republican,11705,0.7325697834522469
Colorado,el paso,Donald Trump,Republican,179228,0.5619013879178724
Colorado,fremont,Donald Trump,Republican,15122,0.6882082555864015
Colorado,garfield,Donald Trump,Republican,13132,0.4961088024178315
Colorado,gilpin,Hillary Clinton,Democratic,1634,0.4569351230425056
Colorado,grand,Donald Trump,Republican,4494,0.5232883092687471
Colorado,gunnison,Hillary Clinton,Democratic,5128,0.5448363790905227
Colorado,hinsdale,Donald Trump,Republican,339,0.5755517826825127
Colorado,huerfano,Donald Trump,Republican,1883,0.4977531060005287
Colorado,jackson,Donald Trump,Republican,629,0.7305458768873403
Colorado,jefferson,Hillary Clinton,Democratic,160776,0.4888561855011828
Colorado,kiowa,Donald Trump,Republican,728,0.8514619883040936
Colorado,kit carson,Donald Trump,Republican,2967,0.8014586709886548
Colorado,lake,Hillary Clinton,Democratic,1616,0.5051578618318224
Colorado,la plata,Hillary Clinton,Democratic,15525,0.4983948635634029
Colorado,larimer,Hillary Clinton,Democratic,93113,0.475114807633432
Colorado,las animas,Donald Trump,Republican,3710,0.546150448991609
Colorado,lincoln,Donald Trump,Republican,1892,0.7766830870279147
Colorado,logan,Donald Trump,Republican,7282,0.7490228348076527
Colorado,mesa,Donald Trump,Republican,49779,0.6410441322292764
Colorado,mineral,Donald Trump,Republican,344,0.5276073619631901
Colorado,moffat,Donald Trump,Republican,5305,0.8130268199233717
Colorado,montezuma,Donald Trump,Republican,7853,0.610748172344066
Colorado,montrose,Donald Trump,Republican,14382,0.6788445199660152
Colorado,morgan,Donald Trump,Republican,8145,0.6810200668896321
Colorado,otero,Donald Trump,Republican,4928,0.5830572645527686
Colorado,ouray,Hillary Clinton,Democratic,1697,0.5126888217522658
Colorado,park,Donald Trump,Republican,6135,0.5889411538830758
Colorado,phillips,Donald Trump,Republican,1791,0.7680102915951973
Colorado,pitkin,Hillary Clinton,Democratic,7333,0.6968545091703887
Colorado,prowers,Donald Trump,Republican,3531,0.7039473684210527
Colorado,pueblo,Donald Trump,Republican,36265,0.46111690359331686
Colorado,rio blanco,Donald Trump,Republican,2791,0.8089855072463769
Colorado,rio grande,Donald Trump,Republican,3085,0.5574629562703288
Colorado,routt,Hillary Clinton,Democratic,7600,0.5434005434005434
Colorado,saguache,Hillary Clinton,Democratic,1417,0.4998236331569665
Colorado,san juan,Hillary Clinton,Democratic,265,0.5237154150197628
Colorado,san miguel,Hillary Clinton,Democratic,2975,0.6872256872256872
Colorado,sedgwick,Donald Trump,Republican,1015,0.7441348973607038
Colorado,summit,Hillary Clinton,Democratic,9557,0.5908866081365154
Colorado,teller,Donald Trump,Republican,9745,0.674674605372473
Colorado,washington,Donald Trump,Republican,2299,0.8412001463593121
Colorado,weld,Donald Trump,Republican,76651,0.5659907847712438
Colorado,yuma,Donald Trump,Republican,3850,0.8035900647046545
Connecticut,fairfield,Hillary Clinton,Democratic,243852,0.5789334985719679
Connecticut,hartford,Hillary Clinton,Democratic,240403,0.5908682016595226
Connecticut,litchfield,Donald Trump,Republican,53051,0.5444366905441186
Connecticut,middlesex,Hillary Clinton,Democratic,45357,0.511791388337245
Connecticut,new haven,Hillary Clinton,Democratic,205609,0.5424953694664464
Connecticut,new london,Hillary Clinton,Democratic,62278,0.5041609999352373
Connecticut,tolland,Hillary Clinton,Democratic,38506,0.4973393263070882
Connecticut,windham,Donald Trump,Republican,25747,0.5066013419121264
Delaware,kent,Donald Trump,Republican,36991,0.49587120298131315
Delaware,new castle,Hillary Clinton,Democratic,162919,0.6209016315346182
Delaware,sussex,Donald Trump,Republican,62611,0.590625235831258
District of Columbia,district of columbia,Hillary Clinton,Democratic,282830,0.9086382152999987
Florida,alachua,Hillary Clinton,Democratic,75820,0.5897130768213672
Florida,baker,Donald Trump,Republican,10294,0.8147854994459395
Florida,bay,Donald Trump,Republican,62194,0.711170571621328
Florida,bradford,Donald Trump,Republican,8913,0.7367333443544387
Florida,brevard,Donald Trump,Republican,181848,0.5777501016673444
Florida,broward,Hillary Clinton,Democratic,553320,0.6650872467248672
Florida,calhoun,Donald Trump,Republican,4655,0.7654990955434962
Florida,charlotte,Donald Trump,Republican,60218,0.624836574179758
Florida,citrus,Donald Trump,Republican,54456,0.6832622333751568
Florida,clay,Donald Trump,Republican,74963,0.703990308312125
Florida,collier,Donald Trump,Republican,105423,0.6172704331075186
Florida,columbia,Donald Trump,Republican,20368,0.7095133591110182
Florida,desoto,Donald Trump,Republican,6778,0.626548345350342
Florida,dixie,Donald Trump,Republican,5822,0.8083865592890863
Florida,duval,Donald Trump,Republican,211672,0.4891944672344261
Florida,escambia,Donald Trump,Republican,88808,0.5824659438967922
