state,county,candidate,party,candidatevotes,totalvotes
Arkansas,drew,Donald Trump,Republican,3968,6595
Arkansas,drew,Other,Other,262,6595
Arkansas,faulkner,Hillary Clinton,Democratic,14629,47527
Arkansas,faulkner,Donald Trump,Republican,29346,47527
Arkansas,faulkner,Other,Other,3552,47527
Arkansas,franklin,Hillary Clinton,Democratic,1376,6770
Arkansas,franklin,Donald Trump,Republican,5039,6770
Arkansas,franklin,Other,Other,355,6770
Arkansas,fulton,Hillary Clinton,Democratic,1067,4772
Arkansas,fulton,Donald Trump,Republican,3471,4772
Arkansas,fulton,Other,Other,234,4772
Arkansas,garland,Hillary Clinton,Democratic,12311,40805
Arkansas,garland,Donald Trump,Republican,26087,40805
Arkansas,garland,Other,Other,2407,40805
Arkansas,grant,Hillary Clinton,Democratic,1373,7445
Arkansas,grant,Donald Trump,Republican,5725,7445
Arkansas,grant,Other,Other,347,7445
Arkansas,greene,Hillary Clinton,Democratic,3071,14600
Arkansas,greene,Donald Trump,Republican,10720,14600
Arkansas,greene,Other,Other,809,14600
Arkansas,hempstead,Hillary Clinton,Democratic,2377,7049
Arkansas,hempstead,Donald Trump,Republican,4401,7049
Arkansas,hempstead,Other,Other,271,7049
Arkansas,hot spring,Hillary Clinton,Democratic,3149,11944
Arkansas,hot spring,Donald Trump,Republican,8172,11944
Arkansas,hot spring,Other,Other,623,11944
Arkansas,howard,Hillary Clinton,Democratic,1351,4674
Arkansas,howard,Donald Trump,Republican,3157,4674
Arkansas,howard,Other,Other,166,4674
Arkansas,independence,Hillary Clinton,Democratic,2881,13614
Arkansas,independence,Donald Trump,Republican,9936,13614
Arkansas,independence,Other,Other,797,13614
Arkansas,izard,Hillary Clinton,Democratic,1113,5448
Arkansas,izard,Donald Trump,Republican,4042,5448
Arkansas,izard,Other,Other,293,5448
Arkansas,jackson,Hillary Clinton,Democratic,1583,5156
Arkansas,jackson,Donald Trump,Republican,3267,5156
Arkansas,jackson,Other,Other,306,5156
Arkansas,jefferson,Hillary Clinton,Democratic,15772,25894
Arkansas,jefferson,Donald Trump,Republican,9250,25894
Arkansas,jefferson,Other,Other,872,25894
Arkansas,johnson,Hillary Clinton,Democratic,2427,9112
Arkansas,johnson,Donald Trump,Republican,6091,9112
Arkansas,johnson,Other,Other,594,9112
Arkansas,lafayette,Hillary Clinton,Democratic,1032,2860
Arkansas,lafayette,Donald Trump,Republican,1758,2860
Arkansas,lafayette,Other,Other,70,2860
Arkansas,lawrence,Hillary Clinton,Democratic,1263,5685
